X:Pos_TX-Body2-基础接触模型(m),Y:Pos_TX-Body2-基础接触模型(m),Y:Pos_TY-Body2-基础接触模型(m),Y:Pos_TZ-Body2-基础接触模型(m)
0.24887800,2.0326673e-05,-0.050057568,-2.0326935e-05
0.24987800,2.0489746e-05,-0.050057635,-2.0490007e-05
0.25087800,2.0652820e-05,-0.050057702,-2.0653079e-05
0.25187800,2.0815893e-05,-0.050057772,-2.0816150e-05
0.25287800,2.0978967e-05,-0.050057842,-2.0979222e-05
0.25387800,2.1142041e-05,-0.050057913,-2.1142294e-05
0.25487800,2.1305114e-05,-0.050057986,-2.1305365e-05
0.25587800,2.1468188e-05,-0.050058062,-2.1468437e-05
0.25687800,2.1631261e-05,-0.050058139,-2.1631509e-05
0.25787800,2.1794335e-05,-0.050058218,-2.1794580e-05
0.25887800,2.1957408e-05,-0.050058299,-2.1957652e-05
0.25987800,2.2120482e-05,-0.050058381,-2.2120724e-05
0.26087800,2.2283556e-05,-0.050058466,-2.2283795e-05
0.26187800,2.2446629e-05,-0.050058553,-2.2446867e-05
0.26287800,2.2609703e-05,-0.050058641,-2.2609938e-05
0.26387800,2.2772776e-05,-0.050058732,-2.2773010e-05
0.26487800,2.2935850e-05,-0.050058825,-2.2936082e-05
0.26587800,2.3098923e-05,-0.050058919,-2.3099153e-05
0.26687800,2.3261997e-05,-0.050059015,-2.3262225e-05
0.26787800,2.3425070e-05,-0.050059114,-2.3425296e-05
0.26887800,2.3588144e-05,-0.050059215,-2.3588368e-05
0.26987800,2.3751217e-05,-0.050059318,-2.3751440e-05
0.27087800,2.3914291e-05,-0.050059422,-2.3914511e-05
0.27187800,2.4077364e-05,-0.050059530,-2.4077583e-05
0.27287800,2.4240438e-05,-0.050059638,-2.4240655e-05
0.27387800,2.4403511e-05,-0.050059750,-2.4403726e-05
0.27487800,2.4566585e-05,-0.050059864,-2.4566798e-05
0.27587800,2.4729659e-05,-0.050059981,-2.4729870e-05
0.27687800,2.4892733e-05,-0.050060101,-2.4892942e-05
0.27787800,2.5055806e-05,-0.050060223,-2.5056014e-05
0.27887800,2.5218880e-05,-0.050060348,-2.5219085e-05
0.27987800,2.5381954e-05,-0.050060475,-2.5382157e-05
0.28087800,2.5545027e-05,-0.050060604,-2.5545229e-05
0.28187800,2.5708101e-05,-0.050060737,-2.5708301e-05
0.28287800,2.5871175e-05,-0.050060872,-2.5871372e-05
0.28387800,2.6034248e-05,-0.050061011,-2.6034444e-05
0.28487800,2.6197322e-05,-0.050061152,-2.6197516e-05
0.28587800,2.6360396e-05,-0.050061296,-2.6360588e-05
0.28687800,2.6523469e-05,-0.050061443,-2.6523659e-05
0.28787800,2.6686543e-05,-0.050061592,-2.6686731e-05
0.28887800,2.6849617e-05,-0.050061744,-2.6849803e-05
0.28987800,2.7012690e-05,-0.050061900,-2.7012875e-05
0.29087800,2.7175764e-05,-0.050062059,-2.7175947e-05
0.29187800,2.7338838e-05,-0.050062220,-2.7339019e-05
0.29287800,2.7501912e-05,-0.050062386,-2.7502091e-05
0.29387800,2.7664986e-05,-0.050062555,-2.7665163e-05
0.29487800,2.7828059e-05,-0.050062726,-2.7828235e-05
0.29587800,2.7991133e-05,-0.050062900,-2.7991307e-05
0.29687800,2.8154207e-05,-0.050063076,-2.8154378e-05
0.29787800,2.8317281e-05,-0.050063256,-2.8317450e-05
0.29887800,2.8480354e-05,-0.050063438,-2.8480522e-05
0.29987800,2.8643428e-05,-0.050063624,-2.8643593e-05
0.30000000,2.8663322e-05,-0.050063646,-2.8663488e-05
