X:Vel_RX-SWINGARM000-fuzajiaolian(rad/s),Y:Vel_RX-SWINGARM000-fuzajiaolian(rad/s)
0.36418300,0.77457407
0.36468300,0.77056497
0.36518300,0.76856043
0.36568300,0.76755815
0.36618300,0.76705702
0.36718300,0.76655588
0.36818300,0.76630531
0.36918300,0.76618003
0.37018300,0.76611739
0.37118300,0.76608606
0.37218300,0.76607040
0.37318300,0.76606257
0.37418300,0.76605866
0.37518300,0.76605670
0.37618300,0.76605572
0.37718300,0.76605523
0.37818300,0.76605499
0.37918300,0.76605487
0.38018300,0.76605480
0.38118300,0.76605477
0.38218300,0.76605476
0.38318300,0.76605475
0.38418300,0.76621867
0.38518300,0.76690060
0.38618300,0.76822126
0.38718300,0.76848230
0.38818300,0.76861281
0.38918300,0.81937331
0.38968300,0.94413101
0.39018300,1.0764185
0.39068300,1.1615262
0.39118300,1.1996393
0.39168300,1.2139919
0.39218300,1.2211682
0.39268300,1.2247563
0.39318300,1.2265504
0.39368300,1.2274475
0.39418300,1.2278960
0.39468300,1.2281202
0.39568300,1.2283445
0.39668300,1.2284566
0.39768300,1.2285127
0.39868300,1.2285407
0.39968300,1.2285547
0.40068300,1.2285617
0.40118300,1.2264809
0.40168300,1.2229688
0.40218300,1.2214531
0.40268300,1.2212156
0.40318300,1.2211562
0.40368300,1.2211414
0.40418300,1.2211376
0.40493300,1.2211364
0.40543300,1.2211361
0.40593300,1.2211359
0.40618300,1.2119329
0.40668300,1.1014832
0.40718300,0.93003290
0.40768300,0.81615175
0.40818300,0.77505126
0.40868300,0.76690472
0.40918300,0.76422364
0.40968300,0.76288309
0.41018300,0.76221282
0.41068300,0.76187769
0.41118300,0.76171012
0.41168300,0.76162634
0.41218300,0.76158444
0.41268300,0.76156350
0.41318300,0.76155303
0.41368300,0.76154779
0.41418300,0.76154517
0.41518300,0.76154255
0.41618300,0.76154124
0.41718300,0.76154059
0.41818300,0.76154026
0.41918300,0.76154010
0.42018300,0.76154002
0.42118300,0.76153997
0.42218300,0.76176985
0.42318300,0.76229137
0.42368300,0.77831531
0.42418300,0.84122847
0.42468300,0.94562627
0.42518300,1.0396507
0.42568300,1.0976226
0.42618300,1.1225648
0.42668300,1.1476004
0.42718300,1.1724261
0.42768300,1.1951715
0.42818300,1.2143453
0.42868300,1.2269850
0.42968300,1.2395407
0.43068300,1.2441924
0.43168300,1.2465182
0.43268300,1.2476812
0.43368300,1.2482626
0.43468300,1.2485533
0.43568300,1.2486987
0.43668300,1.2487714
0.43768300,1.2488077
0.43868300,1.2488259
0.43968300,1.2488350
0.44068300,1.2487864
0.44168300,1.2426552
0.44268300,1.2397890
0.44368300,1.2389699
0.44468300,1.2385604
0.44568300,1.1539406
0.44618300,1.0449807
0.44668300,0.95266423
0.44718300,0.89320203
0.44768300,0.86503300
0.44818300,0.85456508
0.44868300,0.84933111
0.44918300,0.84671413
0.44968300,0.84540564
0.45018300,0.84475139
0.45068300,0.84442427
0.45118300,0.84426071
0.45218300,0.84409715
0.45318300,0.84401537
0.45418300,0.84397448
0.45518300,0.84395403
0.45618300,0.84394381
0.45718300,0.84393870
0.45768300,0.84393742
0.45818300,0.84393678
0.45868300,0.84393646
0.45918300,0.84393630
0.45968300,0.84393622
0.46018300,0.84393618
0.46068300,0.84393616
0.46118300,0.84393615
0.46168300,0.84393615
0.46218300,0.84393614
0.46268300,0.84393614
0.46368300,0.84393614
0.46468300,0.84393614
0.46568300,0.84393614
0.46668300,0.84393614
0.46768300,0.84393614
0.46868300,0.84393614
0.46918300,0.84253230
0.46968300,0.90444044
0.47018300,0.97772321
0.47068300,1.0292661
0.47118300,1.0449131
0.47168300,1.0521208
0.47218300,1.0557246
0.47268300,1.0575266
0.47318300,1.0584275
0.47368300,1.0588780
0.47418300,1.0591032
0.47518300,1.0593285
0.47618300,1.0594411
0.47718300,1.0594974
0.47818300,1.0595256
0.47918300,1.0595396
0.48018300,1.0595467
0.48118300,1.0595502
0.48218300,1.0595520
0.48318300,1.0595528
0.48418300,1.0595533
0.48518300,1.0595535
0.48618300,1.0595536
0.48718300,1.0595537
0.48818300,1.0595537
0.48918300,1.0595537
0.49018300,1.0595537
0.49118300,1.0595537
0.49218300,1.0595537
0.49318300,1.0595537
0.49418300,1.0595537
0.49518300,1.0595537
0.49618300,1.0595537
0.49718300,1.0595537
0.49818300,1.0595537
0.49918300,1.0595537
0.50000000,1.0595537
