X:Pos_TX-Body5-slider_crank(mm),Y:Pos_TX-Body5-slider_crank(mm),Y:Pos_TY-Body5-slider_crank(mm),Y:Pos_TZ-Body5-slider_crank(mm)
0.49825300,13.007923,343.51272,-1.0306417e-12
0.49925300,12.239784,343.69434,-1.0315571e-12
0.50025300,11.470888,343.87405,-1.0324717e-12
0.50125300,10.701243,344.05185,-1.0333855e-12
0.50225300,9.9308632,344.22772,-1.0342986e-12
0.50325300,9.1597584,344.40168,-1.0352109e-12
0.50425300,8.3879403,344.57371,-1.0361223e-12
0.50525300,7.6154204,344.74380,-1.0370330e-12
0.50625300,6.8422101,344.91197,-1.0379428e-12
0.50725300,6.0683209,345.07819,-1.0388519e-12
0.50825300,5.2937643,345.24248,-1.0397601e-12
0.50925300,4.5185519,345.40482,-1.0406674e-12
0.51025300,3.7426951,345.56522,-1.0415739e-12
0.51125300,2.9662057,345.72366,-1.0424796e-12
0.51225300,2.1890953,345.88015,-1.0433844e-12
0.51325300,1.4113754,346.03468,-1.0442883e-12
0.51425300,0.63305784,346.18726,-1.0451913e-12
0.51525300,-0.14584576,346.33787,-1.0460934e-12
0.51625300,-0.92532367,346.48651,-1.0469946e-12
0.51725300,-1.7053641,346.63319,-1.0478949e-12
0.51825300,-2.4859553,346.77789,-1.0487943e-12
0.51925300,-3.2670855,346.92062,-1.0496927e-12
0.52025300,-4.0487427,347.06138,-1.0505902e-12
0.52125300,-4.8309153,347.20015,-1.0514868e-12
0.52225300,-5.6135913,347.33695,-1.0523824e-12
0.52325300,-6.3967588,347.47176,-1.0532770e-12
0.52425300,-7.1804059,347.60458,-1.0541707e-12
0.52525300,-7.9645206,347.73542,-1.0550633e-12
0.52625300,-8.7490911,347.86427,-1.0559550e-12
0.52725300,-9.5341052,347.99112,-1.0568457e-12
0.52825300,-10.319551,348.11598,-1.0577354e-12
0.52925300,-11.105417,348.23885,-1.0586240e-12
0.53025300,-11.891690,348.35972,-1.0595116e-12
0.53125300,-12.678359,348.47859,-1.0603982e-12
0.53225300,-13.465411,348.59546,-1.0612837e-12
0.53325300,-14.252835,348.71032,-1.0621682e-12
0.53425300,-15.040619,348.82319,-1.0630517e-12
0.53525300,-15.828749,348.93404,-1.0639340e-12
0.53625300,-16.617215,349.04290,-1.0648153e-12
0.53725300,-17.406003,349.14974,-1.0656955e-12
0.53825300,-18.195103,349.25458,-1.0665746e-12
0.53925300,-18.984501,349.35741,-1.0674526e-12
0.54025300,-19.774185,349.45823,-1.0683295e-12
0.54125300,-20.564143,349.55703,-1.0692052e-12
0.54225300,-21.354364,349.65383,-1.0700799e-12
