X:Vel_RZ-Body5-slider_crank(rad/s),Y:Vel_RZ-Body5-slider_crank(rad/s)
0.10525300,1.1301057
0.10625300,1.1395676
0.10725300,1.1490055
0.10825300,1.1584195
0.10925300,1.1678094
0.11025300,1.1771753
0.11125300,1.1865172
0.11225300,1.1958352
0.11325300,1.2051291
0.11425300,1.2143990
0.11525300,1.2236450
0.11625300,1.2328669
0.11725300,1.2420648
0.11825300,1.2512387
0.11925300,1.2603887
0.12025300,1.2695146
0.12125300,1.2786165
0.12225300,1.2876944
0.12325300,1.2967484
0.12425300,1.3057783
0.12525300,1.3147842
0.12625300,1.3237662
0.12725300,1.3327241
0.12825300,1.3416580
0.12925300,1.3505679
0.13025300,1.3594539
0.13125300,1.3683158
0.13225300,1.3771537
0.13325300,1.3859677
0.13425300,1.3947576
0.13525300,1.4035235
0.13625300,1.4122654
0.13725300,1.4209834
0.13825300,1.4296773
0.13925300,1.4383472
0.14025300,1.4469932
0.14125300,1.4556151
0.14225300,1.4642130
0.14325300,1.4727869
0.14425300,1.4813369
0.14525300,1.4898628
0.14625300,1.4983647
0.14725300,1.5068426
0.14825300,1.5152966
0.14925300,1.5237265
0.15025300,1.5321324
0.15125300,1.5405144
0.15225300,1.5488723
0.15325300,1.5572062
0.15425300,1.5655161
0.15525300,1.5738021
0.15625300,1.5820640
0.15725300,1.5903019
0.15825300,1.5985159
0.15925300,1.6067058
0.16025300,1.6148717
0.16125300,1.6230136
0.16225300,1.6311316
0.16325300,1.6392255
0.16425300,1.6472954
0.16525300,1.6553414
0.16625300,1.6633633
0.16725300,1.6713612
0.16825300,1.6793351
0.16925300,1.6872851
0.17025300,1.6952110
0.17125300,1.7031129
0.17225300,1.7109908
0.17325300,1.7188448
0.17425300,1.7266747
0.17525300,1.7344806
0.17625300,1.7422626
0.17725300,1.7500205
0.17825300,1.7577544
0.17925300,1.7654643
0.18025300,1.7731503
0.18125300,1.7808122
0.18225300,1.7884501
0.18325300,1.7960641
0.18425300,1.8036540
0.18525300,1.8112199
0.18625300,1.8187618
0.18725300,1.8262798
0.18825300,1.8337737
0.18925300,1.8412436
0.19025300,1.8486896
0.19125300,1.8561115
0.19225300,1.8635094
0.19325300,1.8708833
0.19425300,1.8782333
0.19525300,1.8855592
0.19625300,1.8928611
0.19725300,1.9001390
0.19825300,1.9073930
0.19925300,1.9146229
0.20025300,1.9218288
0.20125300,1.9290108
0.20225300,1.9361687
0.20325300,1.9433026
0.20425300,1.9504125
0.20525300,1.9574985
0.20625300,1.9645604
0.20725300,1.9715983
0.20825300,1.9786123
0.20925300,1.9856022
0.21025300,1.9925681
0.21125300,1.9995100
0.21225300,2.0064280
0.21325300,2.0133219
0.21425300,2.0201918
0.21525300,2.0270378
0.21625300,2.0338597
0.21725300,2.0406576
0.21825300,2.0474315
0.21925300,2.0541815
0.22025300,2.0609074
0.22125300,2.0676093
0.22225300,2.0742872
0.22325300,2.0809412
0.22425300,2.0875711
0.22525300,2.0941770
0.22625300,2.1007590
0.22725300,2.1073169
0.22825300,2.1138508
0.22925300,2.1203607
0.23025300,2.1268467
0.23125300,2.1333086
0.23225300,2.1397465
0.23325300,2.1461605
0.23425300,2.1525504
