X:Vel_RZ-Body2-slider_crank(rad/s),Y:Vel_RZ-Body2-slider_crank(rad/s)
0.49525300,1.4998688
0.49625300,1.4999198
0.49725300,1.4999587
0.49825300,1.4999857
0.49925300,1.5000007
0.50025300,1.5000036
0.50125300,1.4999946
0.50225300,1.4999735
0.50325300,1.4999405
0.50425300,1.4998955
0.50525300,1.4998384
0.50625300,1.4997694
0.50725300,1.4996884
0.50825300,1.4995953
0.50925300,1.4994903
0.51025300,1.4993733
0.51125300,1.4992442
0.51225300,1.4991032
0.51325300,1.4989501
0.51425300,1.4987851
0.51525300,1.4986081
0.51625300,1.4984190
0.51725300,1.4982180
0.51825300,1.4980050
0.51925300,1.4977799
0.52025300,1.4975429
0.52125300,1.4972939
0.52225300,1.4970328
0.52325300,1.4967598
0.52425300,1.4964748
0.52525300,1.4961777
0.52625300,1.4958687
0.52725300,1.4955476
0.52825300,1.4952146
0.52925300,1.4948696
0.53025300,1.4945125
0.53125300,1.4941435
0.53225300,1.4937625
0.53325300,1.4933694
0.53425300,1.4929644
0.53525300,1.4925474
0.53625300,1.4921183
0.53725300,1.4916773
0.53825300,1.4912242
0.53925300,1.4907592
0.54025300,1.4902822
0.54125300,1.4897931
0.54225300,1.4892921
0.54325300,1.4887791
0.54425300,1.4882540
0.54525300,1.4877170
0.54625300,1.4871680
0.54725300,1.4866069
0.54825300,1.4860339
0.54925300,1.4854489
0.55025300,1.4848518
0.55125300,1.4842428
0.55225300,1.4836217
0.55325300,1.4829887
0.55425300,1.4823437
0.55525300,1.4816866
0.55625300,1.4810176
0.55725300,1.4803366
0.55825300,1.4796435
0.55925300,1.4789385
0.56025300,1.4782215
0.56125300,1.4774924
0.56225300,1.4767514
0.56325300,1.4759983
0.56425300,1.4752333
0.56525300,1.4744563
0.56625300,1.4736672
0.56725300,1.4728662
0.56825300,1.4720532
0.56925300,1.4712281
0.57025300,1.4703911
0.57125300,1.4695421
0.57225300,1.4686810
0.57325300,1.4678080
0.57425300,1.4669230
0.57525300,1.4660259
0.57625300,1.4651169
0.57725300,1.4641958
0.57825300,1.4632628
0.57925300,1.4623178
0.58025300,1.4613607
0.58125300,1.4603917
0.58225300,1.4594107
0.58325300,1.4584176
0.58425300,1.4574126
0.58525300,1.4563956
0.58625300,1.4553665
0.58725300,1.4543255
0.58825300,1.4532724
0.58925300,1.4522074
0.59025300,1.4511304
0.59125300,1.4500413
0.59225300,1.4489403
0.59325300,1.4478273
0.59425300,1.4467022
0.59525300,1.4455652
0.59625300,1.4444162
0.59725300,1.4432551
0.59825300,1.4420821
0.59925300,1.4408971
0.60025300,1.4397000
0.60125300,1.4384910
0.60225300,1.4372699
0.60325300,1.4360369
0.60425300,1.4347919
0.60525300,1.4335348
0.60625300,1.4322658
0.60725300,1.4309848
0.60825300,1.4296917
0.60925300,1.4283867
0.61025300,1.4270697
0.61125300,1.4257406
0.61225300,1.4243996
0.61325300,1.4230465
0.61425300,1.4216815
0.61525300,1.4203045
0.61625300,1.4189154
0.61725300,1.4175144
0.61825300,1.4161014
0.61925300,1.4146763
0.62025300,1.4132393
0.62125300,1.4117903
0.62225300,1.4103292
0.62325300,1.4088562
0.62425300,1.4073712
0.62525300,1.4058741
0.62625300,1.4043651
0.62725300,1.4028440
0.62825300,1.4013110
0.62925300,1.3997660
0.63025300,1.3982089
0.63125300,1.3966399
0.63225300,1.3950589
0.63325300,1.3934658
0.63425300,1.3918608
0.63525300,1.3902438
0.63625300,1.3886147
0.63725300,1.3869737
0.63825300,1.3853206
0.63925300,1.3836556
0.64025300,1.3819786
0.64125300,1.3802895
0.64225300,1.3785885
0.64325300,1.3768755
0.64425300,1.3751504
0.64525300,1.3734134
0.64625300,1.3716644
0.64725300,1.3699033
0.64825300,1.3681303
0.64925300,1.3663453
0.65025300,1.3645482
0.65125300,1.3627392
0.65225300,1.3609181
0.65325300,1.3590851
0.65425300,1.3572401
0.65525300,1.3553830
0.65625300,1.3535140
0.65725300,1.3516330
0.65825300,1.3497399
0.65925300,1.3478349
0.66025300,1.3459179
0.66125300,1.3439888
0.66225300,1.3420478
0.66325300,1.3400947
0.66425300,1.3381297
0.66525300,1.3361527
0.66625300,1.3341636
0.66725300,1.3321626
0.66825300,1.3301496
0.66925300,1.3281245
0.67025300,1.3260875
0.67125300,1.3240385
0.67225300,1.3219774
0.67325300,1.3199044
0.67425300,1.3178194
0.67525300,1.3157223
0.67625300,1.3136133
0.67725300,1.3114922
0.67825300,1.3093592
0.67925300,1.3072142
0.68025300,1.3050571
0.68125300,1.3028881
0.68225300,1.3007071
0.68325300,1.2985140
0.68425300,1.2963090
0.68525300,1.2940920
0.68625300,1.2918629
0.68725300,1.2896219
0.68825300,1.2873688
0.68925300,1.2851038
0.69025300,1.2828268
0.69125300,1.2805377
0.69225300,1.2782367
0.69325300,1.2759237
0.69425300,1.2735986
0.69525300,1.2712616
0.69625300,1.2689126
0.69725300,1.2665515
0.69825300,1.2641785
0.69925300,1.2617935
0.70025300,1.2593964
0.70125300,1.2569874
0.70225300,1.2545663
0.70325300,1.2521333
0.70425300,1.2496883
0.70525300,1.2472312
0.70625300,1.2447622
0.70725300,1.2422812
0.70825300,1.2397881
0.70925300,1.2372831
