X:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FX_GeoContact-GeoSurContact1-complex_contact(N),Y:FY_GeoContact-GeoSurContact1-complex_contact(N),Y:FZ_GeoContact-GeoSurContact1-complex_contact(N)
0.063477000,0.018979449,0.047669039,-0.26018830
0.064245000,-6.0540800e-05,0.0018463590,-0.0069716359
0.065013000,0.013817990,0.031156502,-0.11863378
0.066037000,0.00069679180,0.0015552152,-0.0059056635
0.067317000,0.016377728,0.036494045,-0.13839348
0.068341000,0.0034286892,0.0081015034,-0.032147386
0.069109000,0.0010686731,0.0034166926,-0.016153582
0.070133000,0.0027445969,0.0062124744,-0.023857827
0.071029000,0.00096111736,0.0039787709,-0.020760438
0.072053000,0.00020753426,0.0011885382,-0.0067489759
0.073077000,0.00061214387,0.0035186807,-0.019995993
0.074229000,0.0023737093,0.0057368483,-0.023137262
0.075253000,0.00067675339,0.0036832939,-0.020683985
0.076021000,0.00067503522,0.0036008504,-0.020128621
0.077045000,0.00070274722,0.0036562835,-0.020319333
0.078069000,0.0010069216,0.0037169367,-0.020057455
0.079093000,0.017739149,0.019122589,-0.089826423
0.080117000,0.00080725134,0.00087007729,-0.0040865717
0.081141000,0.0052551652,0.0044512238,-0.030747787
0.082037000,0.0018932554,0.0018652177,-0.011077371
0.083061000,0.0023031090,0.0026483478,-0.013475410
0.084085000,0.027029784,0.026633811,-0.13084610
0.085109000,0.0068634785,0.0048560188,-0.043702159
0.086005000,0.0035490618,0.0035095149,-0.017679071
0.087029000,0.0042713531,0.0037853297,-0.021180531
0.088053000,0.0053018260,0.0045401773,-0.024320284
0.089205000,0.0045301530,0.0035773477,-0.020362550
0.090229000,0.0043290269,0.0033950421,-0.019545715
0.091253000,0.011164021,0.0071437704,-0.048142109
0.092021000,0.0032274574,0.0020759437,-0.013992117
0.093173000,0.0043000968,0.0027849402,-0.018770841
0.094197000,0.0017067978,0.0015450349,-0.010413726
0.095221000,0.0024049922,0.0022852434,-0.015402823
