X:Pos_TX-Body1-complex_contact(mm),Y:Pos_TX-Body1-complex_contact(mm),Y:Pos_TY-Body1-complex_contact(mm),Y:Pos_TZ-Body1-complex_contact(mm)
0.29321925,54.105515,46.181787,28.975982
0.29421925,54.085184,46.155974,28.983619
0.29521925,54.063980,46.133169,28.990039
0.29621925,54.041915,46.113369,28.995273
0.29721925,54.019002,46.096566,28.999343
0.29821925,53.995251,46.082752,29.002265
0.29921925,53.970713,46.071886,29.004068
0.30021925,53.945386,46.063610,29.003308
0.30121925,53.919428,46.059716,29.003148
0.30209425,53.896988,46.060079,29.003693
0.30309425,53.871582,46.063698,29.002569
0.30409425,53.846431,46.070857,28.999878
0.30509425,53.821526,46.081724,28.995895
0.30621925,53.793811,46.098448,28.990055
0.30721925,53.769417,46.116882,28.982633
0.30809425,53.748284,46.136066,28.975178
0.30909425,53.724343,46.161087,28.964675
0.31009425,53.700652,46.189655,28.952534
0.31109425,53.677229,46.222069,28.939603
0.31221925,53.651137,46.262668,28.923165
0.31321925,53.628164,46.302517,28.907209
0.31409425,53.608233,46.340427,28.892593
0.31509425,53.585600,46.386611,28.873725
0.31621925,53.560384,46.442585,28.850424
0.31721925,53.538234,46.496185,28.828372
0.31821925,53.516315,46.553380,28.805087
0.31921925,53.494582,46.612588,28.776486
0.32021925,53.473325,46.675113,28.744564
0.32121925,53.452803,46.742692,28.712658
0.32203175,53.436995,46.800905,28.687701
0.32303175,53.419366,46.877730,28.663061
0.32400050,53.404708,46.954761,28.642225
0.32506300,53.392832,47.042996,28.629108
0.32606300,53.383407,47.127614,28.615263
0.32706300,53.375795,47.213862,28.600585
0.32806300,53.370030,47.301707,28.584440
0.32918800,53.366041,47.402664,28.565467
0.33003175,53.369333,47.477180,28.567567
0.33109425,53.376660,47.569874,28.572712
0.33209425,53.385585,47.656426,28.577081
0.33309425,53.396469,47.742314,28.580966
0.33409425,53.409316,47.827535,28.584381
0.33509425,53.423803,47.907250,28.599120
